[HEADER]
FILE_VERSION;1
SITE;0100001797;FRA203
FOLDER;Froid alim - C2+
LABEL;Type de fluide
POINT_ID;FRALIM_C2P_TP_FLUIDE
FREQUENCY;13
TIMEZONE;Europe/Paris
COMPRESSED;1
[DATA]
COLUMNS;CV
UNITS;°C
"2017-01-01 00:00:00";19
"2017-01-13 00:00:00";
"2017-01-14 00:00:00";19
"2017-02-21 00:00:00";
"2017-02-22 00:00:00";19
"2017-03-21 00:00:00";19
"2017-03-22 00:00:00";19
"2017-06-09 00:00:00";19
"2017-06-10 00:00:00";19
"2017-07-05 00:00:00";
"2017-07-19 00:00:00";19
"2017-07-24 00:00:00";
"2017-07-25 00:00:00";19
"2017-07-31 00:00:00";
"2017-08-01 00:00:00";19
"2017-08-28 00:00:00";19
"2017-08-29 00:00:00";19
"2017-11-16 00:00:00";19
"2017-11-17 00:00:00";19
"2017-12-31 00:00:00";19
